Player,pct_2P_2013,pct_0-3_2013,pct_3-10_2013,pct_10-16_2013,pct_16-3P_2013,pct_3P_2013,att_2P_2013,att_0-3_2013,att_3-10_2013,att_10-16_2013,att_16-3P_2013,att_3P_2013
Dominique Jones,.917,.486,.339,.055,.037,.083,.390,.491,.243,.667,.000,.111
James Jones,.131,.016,.000,.033,.082,.869,.625,1.000,,1.000,.400,.302
Kevin Jones,1.000,.449,.150,.159,.243,.000,.402,.542,.438,.235,.231,
Perry Jones,.980,.273,.182,.212,.313,.020,.402,.778,.167,.238,.323,.000
Solomon Jones,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,
Terrence Jones,.798,.404,.287,.043,.064,.202,.507,.737,.296,.250,.167,.263
DeAndre Jordan,1.000,.701,.277,.014,.008,.000,.643,.716,.489,.429,.000,
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Cory Joseph,.809,.364,.164,.073,.209,.191,.506,.650,.500,.500,.261,.286
Kris Joseph,.786,.286,.000,.214,.286,.214,.182,.500,,.000,.000,.000
Kris Joseph,.818,.364,.000,.182,.273,.182,.222,.500,,.000,.000,.000
Kris Joseph,.667,.000,.000,.333,.333,.333,.000,,,.000,.000,.000
